Name,Category,Difficulty,Estimated Time,Ideal Stage,Short Description,Long Description,Brief Instructions Step 1,Brief Instructions Step 2,Brief Instructions Step 3,Detailed Instructions Step 1,Detailed Instructions Step 2,Detailed Instructions Step 3,Detailed Instructions Step 4,Detailed Instructions Step 5,General Tips,Troubleshooting,Prerequisites,Progressions,Preparation Tips,Training Insights,Achievement Level 1,Achievement Level 2,Achievement Level 3,Ideal Stage Level 1,Ideal Stage Level 2,Ideal Stage Level 3,Pass Criteria,Fail Criteria,Mastery Criteria
Off,Foundational / Manners / Safety,Beginner–Intermediate,1–2 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14","Teaches the dog to remove their paws or body from furniture, people, or objects.","Off teaches polite manners by helping your dog understand when physical contact—such as jumping on people, climbing on counters, or getting on furniture—is not appropriate. This cue promotes safety, prevents injury, and encourages calm respectful interactions.",Say 'Off.',Guide dog to floor.,Reward when all paws are down.,"When your dog jumps up on a person, counter, or furniture, say 'Off' once in a neutral, calm voice.","Guide them toward the floor using a hand signal, or step slightly into their space so they naturally move down.","The moment all four paws return to the ground, mark and reward. This teaches the dog that keeping paws down earns rewards.",,,"Stay calm and consistent. Reward immediately when the dog chooses to stay on the floor. Avoid pushing the dog off, as it can create excitement.","If your dog jumps more when excited, practice in low-energy situations first. If they ignore the cue, reward calm four-paws-on-floor more often. If they jump for attention, turn away briefly and reward when they settle.","Sit, Name Recognition","Greeting Manners, Heel, Calm Household Behaviour",Prepare treats and begin in a location where jumping commonly occurs.,Dogs jump because it works. Teaching 'Off' paired with rewarding calmness prevents future jumping.,Responds in calm settings.,Responds with guests or mild distractions.,Responds reliably in exciting greeting situations.,Week 10,Week 12,Week 14,Dog gets down on first cue.,Dog continues jumping.,Dog automatically keeps paws down without being told.
On Your Mat / Bed,Foundational / Calmness / Management,Intermediate,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 14, Level 3 by Week 16",Teaches the dog to go to a designated spot and relax.,"This skill gives your dog a predictable place to settle, which is extremely helpful during mealtimes, guest arrivals, busy households, or café/restaurant visits. Place training reduces anxiety by giving the dog a clear job.",Lure dog onto mat.,Mark and reward.,Add cue.,"Begin by placing a mat or bed in a quiet area. Lure your dog onto the mat using a treat. When all four paws are on the mat, mark and reward.","After several repetitions, add the cue 'Mat' or 'Bed' just before luring.",Gradually build duration by rewarding your dog for staying on the mat for longer periods.,"Add distance by sending your dog to the mat from farther away, and add distractions over time.",,"Reward your dog frequently during early sessions. Make the mat a positive, cozy place. Use it during natural downtime like meals or relaxation periods.","If your dog keeps stepping off the mat, reduce duration expectations. If they refuse to go to the mat, use higher-value treats. If they get too excited, pause training until calmer.","Sit, Down","Settle, Calm Public Behaviour, Stay",Use a mat with good traction and have small treats ready.,Place training helps manage household behaviour and builds strong self-settling skills.,Goes to mat on cue indoors.,Holds position with distractions.,Uses mat reliably in public environments.,Week 12,Week 14,Week 16,Dog goes to mat promptly.,Dog wanders or leaves mat.,Dog settles on mat automatically in busy settings.
Heel,Foundational / Obedience / Leash Skills,Intermediate–Advanced,3–6 weeks,"Level 1 by Week 14, Level 2 by Week 18, Level 3 by Week 22",Teaches the dog to walk close to your side with focus and control.,"Heel requires your dog to move beside you in a controlled and attentive manner. Unlike loose-leash walking, Heel is a precise position used for focused training, crowded environments, and high-control scenarios such as crossing roads or passing distractions.",Lure dog to your side.,Take a few steps.,Reward frequently.,Begin by standing with your dog beside your left leg. Lure them into position with a treat.,Take one or two steps forward while keeping the treat at your left side. Mark and reward when the dog stays in position.,"Increase distance gradually, adding turns and changes of speed.",Fade the lure by rewarding less frequently and relying on verbal cues.,,Reward frequently while the dog is learning. Keep sessions short to avoid frustration. Practice indoors before adding distractions.,"If your dog pulls ahead, stop and reset. If they lag behind, increase excitement. If they drift outward, reward closer to your leg.","Name Recognition, Sit, Look","Advanced Leash Walking, Focused Heelwork, Recall","Use a well-fitted harness or collar, treats, and a quiet hallway or driveway.","Heel builds exceptional focus and control, which benefits all other leash skills.",Heels indoors for short distances.,Heels outdoors with mild distractions.,"Heels reliably near dogs, people, or heavy distractions.",Week 14,Week 18,Week 22,Dog stays by your side briefly.,Dog pulls or drifts out of position.,Dog maintains heel position in all environments.
Come (Recall),Foundational / Safety / Obedience,Intermediate,3–6 weeks,"Level 1 by Week 12, Level 2 by Week 16, Level 3 by Week 20",Teaches the dog to return to you immediately when called.,"A strong recall is the most important safety behaviour in dog training. It prevents accidents, keeps your dog close around distractions, and allows safe off-leash freedom in appropriate environments. Dogs with reliable recall experience more freedom and make safer choices.",Say name + 'Come.',Reward generously.,Increase distance.,"Start indoors at a short distance. Call your dog by name followed by 'Come' in a happy voice. When they turn toward you and run to you, mark and reward generously.","Practice short distances until reliable, then increase the space, practicing in hallways, yards, and safe fenced areas.",Add distractions gradually and use very high-value rewards for outdoor recalls.,Occasionally give a jackpot reward to maintain enthusiasm.,,"Use an enthusiastic tone and reward generously every time, especially early in training. Never call your dog to punish or end something fun.","If your dog ignores the cue, reduce distractions and use better rewards. If they stop halfway, encourage with movement. If they avoid coming, rebuild positive associations.",Name Recognition,"Emergency Recall, Off-Leash Skills, Heel","Use a long-line leash, high-value treats, and practice in secure areas.",Recall should always feel rewarding and exciting for your dog.,Comes indoors reliably.,Comes in yard or quiet outdoor spaces.,Comes in busy or high-distraction environments.,Week 12,Week 16,Week 20,Dog turns and runs to you.,Dog hesitates or ignores cue.,"Dog recalls instantly even during distractions like dogs, smells, or play."
Nicely (Polite Loose-Leash Walking Cue),Foundational / Leash Manners,Beginner–Intermediate,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 16, Level 3 by Week 20",Teaches the dog to walk politely without pulling.,"The 'Nicely' cue helps your dog understand that pulling on the leash is not allowed and that staying near you with light leash tension is rewarding. This cue improves comfort, safety, and communication during everyday walks.",Say 'Nicely.',Reward loose-leash moments.,Stop when dog pulls.,"Begin walking in a quiet area. When the leash is loose, say 'Nicely' in a calm tone and reward your dog for staying close.","If your dog begins to pull, stop walking immediately. Wait for the leash to loosen or for your dog to check in, then mark and reward.",Practice stopping and starting consistently so your dog learns that pulling ends the walk but polite walking keeps it going.,,,Reward often during early stages. Keep sessions short to avoid frustration. Use gentle movements and avoid jerking the leash.,"If your dog pulls constantly, move to a quieter area. If they become frustrated, use higher-value treats. If they lag behind, encourage with a happy voice.",Name Recognition,"Heel, Focused Walking, Recall","Use a well-fitted harness and treats, and choose a quiet area to begin.",Loose-leash walking develops better communication and makes outdoor experiences enjoyable rather than stressful.,Walks politely indoors or on driveway.,Maintains loose leash in yard or quiet streets.,Walks nicely in high-distraction areas.,Week 12,Week 16,Week 20,Dog keeps leash loose.,Dog consistently pulls.,Dog walks politely in all environments with minimal cues.
Look (Watch Me / Focus),Foundational / Focus / Engagement,Beginner,1–2 weeks,"Level 1 by Week 6, Level 2 by Week 8, Level 3 by Week 10",Teaches the dog to make eye contact on cue.,"The Look cue improves your dog’s focus and engagement. It helps redirect attention away from distractions and strengthens communication, making all other training easier and more effective.",Say 'Look.',Mark eye contact.,Reward quickly.,"Begin in a quiet environment. Hold a treat near your face and say 'Look.' When your dog makes eye contact, mark and reward.",Gradually remove the lure by using an empty hand signal.,"Practice in new rooms, then the yard, and eventually outdoors. Increase difficulty by adding mild distractions.",,,Reward immediately at first to build clear understanding. Keep training sessions short and fun. Use a cheerful tone.,"If your dog avoids eye contact, hold the treat closer to your face. If they look away frequently, reduce distractions. If they stare at the treat instead of your eyes, hide the treat behind your back and reward afterward.",Name Recognition,"Heel, Recall, Impulse-Control Exercises",Use soft treats and begin in a calm indoor space.,Eye contact builds strong communication and is essential for managing distractions in real-life environments.,Makes eye contact indoors.,Maintains eye contact around mild distractions.,Maintains eye contact in busy environments.,Week 6,Week 8,Week 10,Dog looks at you on cue.,Dog avoids eye contact.,Dog offers automatic check-ins even without cue.
Release Command (Okay),Foundational / Communication,Beginner,1 week,"Level 1 by Week 6, Level 2 by Week 8, Level 3 by Week 10",Teaches the dog that a behaviour or position is finished and they are free to move.,"The Release cue is essential for clear communication. It tells your dog when a command such as Sit, Down, Stay, or Mat is complete, preventing confusion and teaching your dog to hold positions until they hear the release word.",Ask for position.,Pause briefly.,Say release word.,Begin by asking your dog to sit or lie down. Hold the position for one or two seconds.,"Say your release cue—such as 'Okay!'—in an upbeat tone, then encourage your dog to move.",Reward them after they move to reinforce that the release word means the exercise is finished.,,,Use the release word consistently and only when you truly intend to end the behaviour. Avoid using it casually in conversation.,"If your dog breaks positions early, reduce duration. If they seem confused, practice very short holds before releasing. If they ignore the release, increase your enthusiasm.","Sit, Down, Stay","Extended Stays, Mat Work, Duration Behaviours","Choose a clear, simple release word and prepare small treats.",The Release cue creates structure and prevents your dog from guessing when an exercise is finished.,Understands release indoors.,Holds position until release with mild distractions.,Holds position in public until released.,Week 6,Week 8,Week 10,Dog waits for release.,Dog breaks command early.,Dog holds commands until release in all environments.
Stand,Foundational / Obedience / Grooming Prep,Beginner–Intermediate,1–3 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Teaches the dog to rise into a standing position and remain still.,"Stand is extremely useful for grooming, vet visits, wiping paws, and body handling. It also improves body awareness and supports advanced obedience positions used in sports or precision heelwork.",Lure forward.,Mark when standing.,Add cue.,"Start with your dog in a sit or down. Hold a treat in front of their nose and slowly move it forward. As they rise into a stand, mark and reward immediately.","Once they perform the behaviour reliably, add the verbal cue 'Stand' before luring.","Build duration by rewarding your dog for staying in the stand position for a few seconds, then gradually increasing the duration.",,,Reward calm stillness. Avoid luring too quickly or too high. Keep the dog’s posture straight by rewarding close to their chest.,"If your dog steps forward instead of standing in place, lure more slowly. If they keep sitting again, give shorter duration requests. If they seem confused, practice from a down position instead.","Sit, Down","Grooming Handling, Veterinary Cooperative Care, Precision Obedience",Use treats and practice on a non-slip surface.,Stand builds confidence and teaches your dog to remain stable during handling.,Stands briefly indoors.,Holds stand with mild distractions.,Holds stand during grooming or vet handling.,Week 10,Week 12,Week 14,Dog transitions into stand on cue.,Dog sits or lies down instead.,Dog holds stand confidently during real handling.
Place (Go to Place),Foundational / Calmness / Management,Intermediate,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 14, Level 3 by Week 16",Teaches the dog to go to a defined spot and remain there until released.,"Place training provides your dog with a clear job and a designated relaxation location. It helps reduce overexcitement, supports polite behaviour during meals or guest arrivals, and provides structure for dogs who struggle to settle.",Lure dog onto place.,Mark and reward.,Add cue and duration.,"Begin by showing your dog the place item (mat, bed, platform). Lure them onto it and mark the moment all four paws touch the surface. Reward immediately.","Repeat until consistent, then add the cue 'Place' right before luring.",Begin adding duration by rewarding your dog for remaining on the place for increasing amounts of time.,"Gradually add distractions, distance, and real-life applications (mealtime, door knocking).",,Reward frequently at first to build a strong positive association. Use Place during natural downtime such as meals or relaxing.,"If your dog steps off the place, calmly reset them. If they hesitate to go on, use higher-value treats. If they break frequently, reduce distractions.","Sit, Down","Stay, Settle, Public Calmness",Choose a clearly defined Place surface and have treats ready.,Place training is one of the strongest calmness-building tools for dogs with high energy or anxiety.,Goes to place indoors.,Holds place with distractions.,Uses place reliably in public settings.,Week 12,Week 14,Week 16,Dog goes to place promptly.,Dog leaves place before release.,Dog remains calmly on place in busy real-life scenarios.
Drop It,Foundational / Safety / Impulse Control,Beginner–Intermediate,1–3 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Teaches the dog to release an item from their mouth.,"Drop It is essential for safety and prevents guarding or dangerous object ingestion. Teaching your dog to willingly release objects builds trust, reduces conflict, and allows for safe play with toys.",Trade toy for treat.,Add cue.,Practice with different items.,"Begin with a toy your dog enjoys but is not overly obsessed with. Offer a treat near their nose; when they drop the toy to take the treat, mark and reward.",Add the cue 'Drop It' right before presenting the treat.,"Practice with different toys, increasing difficulty gradually. Never chase your dog for items, as this builds possessiveness.",,,"Always trade politely. Avoid pulling items from your dog’s mouth. Use calm, consistent cues and reward generously.","If your dog runs away with items, use lower-value toys. If they refuse to drop, increase reward value. If they guard objects, practice with safe, non-valued items first.","Take It, Fetch (Optional)","Retrieve Games, Impulse Control, Leave It",Use two toys or high-value treats for trading.,Drop It strengthens trust and prevents unwanted or dangerous object swallowing.,Drops low-value items.,Drops toys during play.,Drops high-value items or food distractions.,Week 10,Week 12,Week 14,Dog releases object promptly.,Dog refuses or guards.,"Dog drops anything on cue, even under excitement."
Fetch,Fun / Play / Exercise,Beginner–Intermediate,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 14, Level 3 by Week 16",Teaches the dog to retrieve an item and bring it back.,"Fetch builds physical exercise, mental stimulation, and teamwork between you and your dog. It can help strengthen recall, reduce boredom, and provide structured play for high-energy dogs.",Encourage chase.,Reward returns.,Add structure.,Begin by tossing a toy a short distance. Encourage your dog to chase it.,"When they return with the toy, reward them immediately, even if they do not deliver it perfectly. This builds motivation to return.",Add structure by asking for Drop It before throwing again. Keep sessions short to maintain excitement.,,,Use toys your dog loves. Keep throws short at first. Always reward the return to reinforce the fetch cycle.,"If your dog runs away with the toy, use two-toy games. If they won’t chase, increase excitement. If they drop the toy too early, reward closer and build distance gradually.","Take It, Drop It","Retrieve Sports, Agility Motivation, Recall Reinforcement",Choose a safe toy and open space with minimal distractions.,Fetch should always feel exciting and rewarding to keep motivation high.,Retrieves toy indoors.,Retrieves toy outdoors.,Retrieves reliably in distracting environments.,Week 12,Week 14,Week 16,Dog brings toy back.,Dog loses interest.,Dog performs reliable fetch with structured Drop It.
