breed,origin,life_span_years,male_weight_adult_kg_min,male_weight_adult_kg_max,male_weight_6m_kg_min,male_weight_6m_kg_max,female_weight_adult_kg_min,female_weight_adult_kg_max,female_weight_6m_kg_min,female_weight_6m_kg_max,temperament,exercise_needs,trainability,coat,grooming,common_health_issues,recognized_by,also_known_as,fci_group,exercise_level,grooming_needs,enrichment_confidence,weights_confidence,health_notes_confidence,recommended_screenings,health_watchlist_tags,health_prevalence_notes
Australian Terrier,Australia,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Azawakh,West Africa (Sahel),12–15,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,"aloof, elegant, loyal",Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,10.0,High,Low,breed-specific,breed-specific,,anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.
Barbet,France,12–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,"friendly, intelligent",Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,8.0,High,High (coat),breed-specific,breed-specific,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Basenji,Central Africa (Congo Basin),12–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,"independent, catlike",Moderate,Challenging,Varies,Low–Moderate,hip dysplasia; eye disorders; Fanconi syndrome,"AKC, FCI",,5.0,High,Low,breed-specific,breed-specific,,Fanconi DNA test/urinalysis screen,,
Basset Artesien Normand,France,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Basset Bleu de Gascogne,France,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Basset Fauve de Bretagne,France,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,6.0,High,Low,breed-specific,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Basset Hound,France/Belgium,12–13,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,"easygoing, charming",High (60–120 min/day),Moderate,Short or medium,Low to Moderate,hip dysplasia; ear infections; eye disorders; intervertebral disc disease (IVDD) predisposition,"AKC, FCI",,6.0,Moderate,Moderate (ears/skin),breed-specific,breed-specific,pattern-based (well-established risks),regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Bavarian Mountain Scent Hound,Germany,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Beagle,England,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia; eye disorders; epilepsy predisposition,"AKC, FCI",,6.0,High,Low,breed-specific,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Bearded Collie,Scotland,12–14,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,"bright, bouncy","Very High (90–120+ min/day, mental work)",Moderate,Double; medium,Moderate,hip dysplasia; CEA; MDR1 sensitivity; MDR1 (ABCB1) drug sensitivity (screening recommended); collie eye anomaly (CEA) in some lines,FCI,,1.0,High,High (long coat),breed-specific,breed-specific,pattern-based (well-established risks),hips (OFA/FCI); CEA/eye exam (CAER); MDR1 DNA test; eye exam (CAER),Pharmacogenetics; Ophthalmic,MDR1 drug sensitivity occurs in herding breeds; collie eye anomaly (CEA) in some lines.
Beauceron,France,10–12,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,"confident, loyal",Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,1.0,High,Low,breed-specific,breed-specific,,,,
Bedlington Terrier,England,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation; skin issues; lens luxation; copper toxicosis (COMMD1),"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,,COMMD1 DNA test (copper),,
Belgian Laekenois,Belgium,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,1.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Belgian Malinois,Belgium,12–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,"driven, alert",Moderate,High,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,1.0,Very High,Low,breed-specific,breed-specific,,,,
Belgian Sheepdog,Belgium,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,1.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Belgian Tervuren,Belgium,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,1.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Bergamasco Sheepdog,Italy,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Bernese Mountain Dog,Switzerland,7–10,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,"gentle, devoted",Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat; orthopedic disease; cardiomyopathy; cancer predisposition (breed‑associated),"AKC, FCI",,2.0,Moderate,Moderate (shedding),breed-specific,breed-specific,pattern-based (well-established risks),hips (OFA/FCI); elbows (OFA/FCI); hips/elbows (OFA/FCI); owner education on early tumor signs; cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Oncologic; Orthopedic; Ophthalmic; Cardiac; Endocrine,Histiocytic sarcoma risk high; lifespan impacted; hips/elbows may be affected.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Bichon Frise,France/Belgium (Canary connection historically),14–15,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,"cheerful, affectionate",Low–Moderate (20–40 min/day),Easy,Short or long; varies,Low to High (breed-specific),dental disease;luxating patellas;tracheal collapse,"AKC, FCI",,9.0,Moderate,High (coat),breed-specific,breed-specific,,patellar exam; routine dental care; eye exam (CAER),Dental; Orthopedic; Ophthalmic,Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Black Russian Terrier,Russia,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Black and Tan Coonhound,United States,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Bloodhound,Belgium/France,10–12,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,"gentle, determined",High (60–120 min/day),Moderate,Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,"AKC, FCI",,6.0,High,Moderate (ears/skin),breed-specific,breed-specific,,,,
Bluetick Coonhound,United States,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Boerboel,South Africa,7–10,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,gentle;steady;protective,Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat;orthopedic disease;cardiomyopathy,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Orthopedic; Ophthalmic; Cardiac; Endocrine,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Bolognese,Italy,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,9.0,Low,Varies,breed-specific,breed-specific estimate,,,,
Border Collie,Scotland/England,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,"intense, highly intelligent","Very High (90–120+ min/day, mental work)",High,Double; medium,Moderate,hip dysplasia; CEA; MDR1 sensitivity; MDR1 (ABCB1) drug sensitivity (screening recommended); collie eye anomaly (CEA) in some lines; epilepsy predisposition,"AKC, FCI",,1.0,Very High,Moderate,breed-specific,breed-specific,pattern-based (well-established risks),hips (OFA/FCI); CEA/eye exam (CAER); MDR1 DNA test; eye exam (CAER),Pharmacogenetics; Ophthalmic,MDR1 drug sensitivity occurs in herding breeds; collie eye anomaly (CEA) in some lines.
Border Terrier,England/Scotland,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,FCI,,3.0,High,Moderate,breed-specific,breed-specific estimate,,PLL DNA test where applicable; patellar exam; dental plan,Ophthalmic; Orthopedic; Dental,Some terriers carry primary lens luxation (PLL); small terriers may have patellar luxation and dental disease.
Borzoi,Russia,10–12,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,"calm, independent",Moderate,Moderate,Varies,Low–Moderate,hip dysplasia; eye disorders; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds,FCI,,10.0,Moderate,Low,breed-specific,breed-specific,pattern-based (well-established risks),owner education on bloat; consider prophylactic gastropexy where appropriate; anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,Gastrointestinal; Anesthesia; Hematologic; Dermatologic,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.
Boston Terrier,United States,11–13,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,"friendly, adaptable",High (60–90 min/day),Easy,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation; skin issues; lens luxation; brachycephalic obstructive airway syndrome (BOAS); heat intolerance; ocular issues (corneal/entropion risk),"AKC, FCI",,9.0,Moderate,Low,breed-specific,breed-specific,pattern-based (well-established risks),airway exam for BOAS risk; eye exam (CAER); airway exam before anesthesia; weight management counseling,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia,BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.
Bouvier des Flandres,Belgium/France,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,1.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Boxer,Germany,10–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,"bright, active",High (60–120 min/day),Moderate,Short/medium double,Low–Moderate,hip dysplasia; bloat; heart issues; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds,"AKC, FCI",,2.0,High,Low,breed-specific,breed-specific,pattern-based (well-established risks),hips (OFA/FCI); elbows (OFA/FCI); annual Holter (ARVC); echo as indicated; owner education on bloat; consider prophylactic gastropexy where appropriate,Cardiac; Oncologic; Gastrointestinal,ARVC risk elevated; mast cell tumors and other cancers occur.; Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.
Boykin Spaniel,United States (South Carolina),11–14,16.0,25.0,10.6,16.5,14.0,23.0,9.2,15.2,gentle;obedient;enthusiastic,High (60–90 min/day),High,Medium feathered,Moderate–High,ear infections;hip dysplasia;eye issues,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Bracco Italiano,Italy,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,7.0,High,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Braque Francais,France,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Braque Saint-Germain,France,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,7.0,High,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Braque du Bourbonnais,France,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,7.0,High,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Briard,France,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,1.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Briquet Griffon Vendéen,France,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease;luxating patellas;tracheal collapse,FCI,,6.0,High,Low,breed-specific,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks; hips/elbows (OFA/FCI); eye exam (CAER),Otic; Dermatologic; Weight; Orthopedic; Ophthalmic,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Brittany Spaniel,France,11–14,16.0,25.0,10.6,16.5,14.0,23.0,9.2,15.2,gentle;obedient;enthusiastic,High (60–90 min/day),High,Medium feathered,Moderate–High,ear infections;hip dysplasia;eye issues,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Broholmer,Denmark,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Orthopedic; Ophthalmic; Cardiac; Endocrine,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Brussels Griffon,France,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease;luxating patellas;tracheal collapse,FCI,,9.0,Low,Varies,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Bull Terrier,England,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,,BAER hearing test,,
