Name,Coat,Common Health Issues,also_known_as,enrichment_confidence,exercise_level,exercise_needs,fci_group,female_weight_6m_kg_max,female_weight_6m_kg_min,female_weight_adult_kg_max,female_weight_adult_kg_min,grooming,grooming_needs,health_notes_confidence,health_prevalence_notes,health_watchlist_tags,life_span_years,male_weight_6m_kg_max,male_weight_6m_kg_min,male_weight_adult_kg_max,male_weight_adult_kg_min,origin,recognized_by,recommended_screenings,temperament,trainability,weights_confidence
American Leopard Hound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),0,19.2,10.8,32,18,Low to Moderate,Moderate,,,,10–14,21,12,35,20,United States,FCI,,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
American Pit Bull Terrier,Wire/broken or smooth,"Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,Moderate,High (60–90 min/day),0,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,United States,"FCI, UKC",BAER hearing test,bold;feisty;energetic,Moderate,breed-specific estimate
American Staffordshire Terrier,Wire/broken or smooth,"Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Low,,,,12–15,7.9,4.6,12,7,United States,"AKC, FCI",,"people‑oriented, confident",Moderate,breed-specific
American Water Spaniel,Medium feathered,"Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (60–90 min/day),0,15.2,9.2,23,14,Moderate–High,Moderate (curly coat),,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,12–14,16.5,10.6,25,16,United States,FCI,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,"alert, eager, friendly",Moderate,breed-specific
Anatolian Shepherd Dog,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21)",,breed-specific,Moderate,"Very High (90–120+ min/day, mental work)",2,17.8,10.6,27,16,Moderate,Low,,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Orthopedic; Ophthalmic; Cardiac; Endocrine,11–13,18,10.8,30,18,Turkey,FCI,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),"calm, independent, protective",Moderate,breed-specific
Appenzeller Sennenhund,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,2,13.2,5.9,20,9,Low–Moderate,Low,,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Orthopedic; Ophthalmic; Cardiac; Endocrine,12–14,14.5,6.6,22,10,Switzerland,FCI,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),"lively, confident, watchful",Moderate,breed-specific
Australian Cattle Dog,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21)",,breed-specific,Moderate,"Very High (90–120+ min/day, mental work)",0,17.8,10.6,27,16,Moderate,Moderate,,,,12–15,18,10.8,30,18,Australia,FCI,BAER hearing test,intelligent;loyal;energetic,Very High,breed-specific estimate
Australian Kelpie,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21)",,breed-specific,Moderate,"Very High (90–120+ min/day, mental work)",0,17.8,10.6,27,16,Moderate,Moderate,,,,12–15,18,10.8,30,18,Australia,FCI,,intelligent;loyal;energetic,Very High,breed-specific estimate
Australian Shepherd,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21)",,breed-specific,High,"Very High (90–120+ min/day, mental work)",1,17.8,10.6,27,16,Moderate,Moderate,pattern-based (well-established risks),MDR1 drug sensitivity occurs in herding breeds; collie eye anomaly (CEA) in some lines.,Pharmacogenetics; Ophthalmic,12–15,18,10.8,30,18,United States,"AKC, FCI",hips (OFA/FCI); CEA/eye exam (CAER); MDR1 DNA test; eye exam (CAER),"smart, work‑oriented",High,breed-specific
Australian Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21)",,breed-specific,Moderate,High (60–90 min/day),0,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,Australia,FCI,,bold;feisty;energetic,Moderate,breed-specific estimate
Azawakh,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,10,13.2,5.9,20,9,Low–Moderate,Low,,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,12–15,14.5,6.6,22,10,West Africa (Sahel),"AKC, FCI",anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,"aloof, elegant, loyal",Moderate,breed-specific
Barbet,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,8,13.2,5.9,20,9,Low–Moderate,High (coat),,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,12–14,14.5,6.6,22,10,France,"AKC, FCI",hips/elbows (OFA/FCI); ear care plan; skin/coat checks,"friendly, intelligent",Moderate,breed-specific
Basenji,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21), Fanconi syndrome (https://www.notion.so/Fanconi-syndrome-28ccf55ca088805a96d5dc4c1b421cf1?pvs=21)",,breed-specific,High,Moderate,5,13.2,5.9,20,9,Low–Moderate,Low,,,,12–14,14.5,6.6,22,10,Central Africa (Congo Basin),"AKC, FCI",Fanconi DNA test/urinalysis screen,"independent, catlike",Challenging,breed-specific
Basset Artesien Normand,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,14.5,6.6,22,10,France,FCI,regular ear checks/cleaning; skin/coat checks,loyal;alert;trainable,Moderate,breed-specific estimate
Basset Bleu de Gascogne,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,14.5,6.6,22,10,France,FCI,regular ear checks/cleaning; skin/coat checks,loyal;alert;trainable,Moderate,breed-specific estimate
Basset Fauve de Bretagne,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,6,13.2,5.9,20,9,Low–Moderate,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,14.5,6.6,22,10,France,FCI,regular ear checks/cleaning; skin/coat checks,loyal;alert;trainable,Moderate,breed-specific estimate
Basset Hound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21), Intervertebral disc disease (IVDD) predisposition (https://www.notion.so/Intervertebral-disc-disease-IVDD-predisposition-e6d0d2095c9a430d8204298541359846?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),6,19.2,10.8,32,18,Low to Moderate,Moderate (ears/skin),pattern-based (well-established risks),Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,12–13,21,12,35,20,France/Belgium,"AKC, FCI",regular ear checks/cleaning; skin/coat checks,"easygoing, charming",Moderate,breed-specific
Bavarian Mountain Scent Hound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),0,19.2,10.8,32,18,Low to Moderate,Moderate,,,,10–14,21,12,35,20,Germany,FCI,,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
Beagle,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21), Epilepsy predisposition (https://www.notion.so/Epilepsy-predisposition-197fcf31d1bb4e8eb6e8ee79fbebe361?pvs=21)",,breed-specific,High,Moderate,6,13.2,5.9,20,9,Low–Moderate,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,14.5,6.6,22,10,England,"AKC, FCI",regular ear checks/cleaning; skin/coat checks,loyal;alert;trainable,Moderate,breed-specific estimate
Bearded Collie,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21)",,breed-specific,High,"Very High (90–120+ min/day, mental work)",1,17.8,10.6,27,16,Moderate,High (long coat),pattern-based (well-established risks),MDR1 drug sensitivity occurs in herding breeds; collie eye anomaly (CEA) in some lines.,Pharmacogenetics; Ophthalmic,12–14,18,10.8,30,18,Scotland,FCI,hips (OFA/FCI); CEA/eye exam (CAER); MDR1 DNA test; eye exam (CAER),"bright, bouncy",Moderate,breed-specific
Beauceron,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,1,13.2,5.9,20,9,Low–Moderate,Low,,,,10–12,14.5,6.6,22,10,France,"AKC, FCI",,"confident, loyal",Moderate,breed-specific
Bedlington Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21), Copper toxicosis (COMMD1) (https://www.notion.so/Copper-toxicosis-COMMD1-28ccf55ca088806ba65af06e895a3d12?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,England,"AKC, FCI",COMMD1 DNA test (copper),bold;feisty;energetic,Moderate,breed-specific estimate
Belgian Laekenois,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,1,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Belgium,"AKC, FCI",,loyal;alert;trainable,Moderate,breed-specific estimate
Belgian Malinois,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Very High,Moderate,1,13.2,5.9,20,9,Low–Moderate,Low,,,,12–14,14.5,6.6,22,10,Belgium,"AKC, FCI",,"driven, alert",High,breed-specific
Belgian Sheepdog,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,1,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Belgium,"AKC, FCI",,loyal;alert;trainable,Moderate,breed-specific estimate
Belgian Tervuren,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,1,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Belgium,"AKC, FCI",,loyal;alert;trainable,Moderate,breed-specific estimate
Bergamasco Sheepdog,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",Bergamasco Shepherd,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Italy,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Bernese Mountain Dog,Short/medium,"Orthopedic disease (https://www.notion.so/Orthopedic-disease-cca3e9500b704b0ab3a96b93a12b8eef?pvs=21), cancer predisposition (breed‑associated) (https://www.notion.so/cancer-predisposition-breed-associated-6eb0172b1c2447a6804061d0503bf697?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),2,35,22.5,70,45,Low–Moderate,Moderate (shedding),pattern-based (well-established risks),Histiocytic sarcoma risk high; lifespan impacted; hips/elbows may be affected.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Oncologic; Orthopedic; Ophthalmic; Cardiac; Endocrine,7–10,40,25,80,50,Switzerland,"AKC, FCI",hips (OFA/FCI); elbows (OFA/FCI); hips/elbows (OFA/FCI); owner education on early tumor signs; cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),"gentle, devoted",Moderate,breed-specific
Bichon Frise,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21)",,breed-specific,Moderate,Low–Moderate (20–40 min/day),9,4.5,1.5,6,2,Low to High (breed-specific),High (coat),,Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.,Dental; Orthopedic; Ophthalmic,14–15,4.5,1.5,6,2,France/Belgium (Canary connection historically),"AKC, FCI",patellar exam; routine dental care; eye exam (CAER),"cheerful, affectionate",Easy,breed-specific
