Category title,Module title,Format,Estimated Time,Ideal Stage of Life,Brief Description,Detailed Description,Brief Step 1,Brief Step 2,Brief Step 3,Brief Step 4,Brief Step 5,Detailed Step 1,Detailed Step 2,Detailed Step 3,Detailed Step 4,Detailed Step 5
The First Days at Home,Building a foundation of trust,Reading (article),5–10 minutes,Days 1–30,"This module teaches how to begin forming a secure, trusting bond with your new dog.","Trust is the foundation of all training and behaviour. This module explains how to build trust through calm interactions, predictable routines, gentle handling, and meeting the dog’s basic needs without pressure. You will learn how to avoid overwhelming your dog, how to encourage curiosity, and why trust-building sets the stage for future training success.",Keep your behaviour calm and predictable.,Let your dog choose to approach you.,Reward voluntary engagement.,Avoid overwhelming environments at first.,"Build confidence with small, positive experiences.","Focus on moving slowly and speaking softly around your new dog, especially in the first days, so they begin to associate you with safety and calmness.",Allow your dog to come to you rather than chasing or grabbing them; reward these voluntary approaches with gentle praise and treats.,"Maintain predictable feeding, toileting, and rest routines so your dog can start to anticipate what will happen next, which reduces anxiety.","Limit exposure to chaotic environments, loud gatherings, or constant handling until your dog shows clear signs of comfort and curiosity.","Provide small, successful experiences—such as exploring one new room, meeting one calm person, or practising one easy training game—which gradually builds your dog’s confidence and deepens their trust in you as a reliable, kind caretaker."
Training Introduction: Setting the Owner Up for Success,Understanding how dogs learn,"Reading (article + video, if available)",10–15 minutes,Week 1–2,"This module explains the basic science of how dogs learn, so owners understand why training works the way it does.","In this module, you will learn that dogs learn through associations and consequences in the moment. You will discover how reinforcement strengthens behaviours, why timing and consistency matter so much, and how a dog’s emotional state affects their ability to learn. We also cover key concepts like thresholds and arousal, and the difference between shaping, capturing, and luring behaviours. With this foundation, training stops feeling like guesswork and becomes a clear, fair communication system between you and your dog.",Read the overview of learning theory.,Learn about timing and consequences.,Understand the role of emotions and arousal.,"Compare shaping, capturing, and luring.",Reflect on how your own actions influence behaviour.,Start by reading about the basic learning principles: dogs repeat behaviours that are rewarded and avoid behaviours that lead to unpleasant outcomes or no benefit.,"Learn that timing is critical—dogs connect rewards or consequences with what happened in the last one or two seconds, not what happened minutes earlier.","Explore how your dog’s emotional state (calm, excited, fearful) can either open the door to learning or shut it down entirely; a relaxed, curious dog learns much faster than a frightened or frantic one.","Study the three main ways of teaching new behaviours: capturing (rewarding when the dog does it naturally), shaping (rewarding tiny steps toward the final behaviour), and luring (using food or a target to guide the dog into position), and note when each is most useful.","Reflect on your daily interactions and recognise that your dog is always learning from you—every treat, every bit of attention, and every situation you manage or ignore teaches your dog what works in your shared world."
Training Introduction: Setting the Owner Up for Success,Marker training and communication,Reading (article),10–15 minutes,Week 1–2,This module teaches you how to use marker words or a clicker so your dog clearly understands what they did right.,"Marker training is a simple but powerful communication system that tells your dog the exact moment they earned a reward. In this module, you will learn how to introduce a reward marker (such as “Yes” or a clicker sound), a duration marker (such as “Good”), and a non-reward marker (such as “Try again”). You will see how clear markers make training faster and less frustrating for both of you, and how tone and timing affect your dog’s understanding.",Choose your reward marker word or clicker.,Charge the marker by pairing it with rewards.,Practise using it at the correct moment.,Add a calm “Good” for duration.,Introduce a gentle “Try again” as a non-reward marker.,"Decide whether you will use a clicker, a short word like “Yes,” or both as your main reward marker and make sure everyone in the home uses the same one.","Begin using the marker in simple training games (like rewarding eye contact or hand touches), focusing on saying it at the exact moment your dog does the desired behaviour.","Introduce a calm, drawn-out “Good” to let your dog know they are on the right track while they hold a position, such as staying on a mat or in a sit.","Add a gentle non-reward marker like “Try again” when your dog offers the wrong behaviour, immediately followed by another chance to respond, so they get clear feedback without fear or harshness.",
Training Introduction: Setting the Owner Up for Success,Rewards and motivation,Reading (article),10–15 minutes,Week 1–3,This module helps you understand what truly motivates your dog and how to use rewards effectively in training.,"Different dogs are motivated by different things. In this module, you will learn how to identify what your dog loves most—food, toys, play, sniffing, or social contact—and how to use those rewards strategically. You will discover how to vary reward types and value, how to avoid overusing food without a plan, and how to transition from continuous reinforcement to more variable schedules once behaviours are strong. Understanding motivation makes training more fun and far more effective.",Test different reward types.,Create a reward hierarchy (low to high value).,Pair high-value rewards with difficult tasks.,Use everyday life rewards when possible.,Gradually vary reward frequency for well-learned skills.,"Experiment with several reward types—soft treats, kibble, tug toys, balls, praise, and access to sniffing or play—and notice which ones your dog gets most excited about.",Build a simple reward hierarchy by ranking these from “everyday” to “jackpot” so you can match reward value to task difficulty.,"Use your highest-value rewards for challenging skills or distracting environments, and lower-value rewards for easy, well-practised behaviours.","Look for opportunities to use real-life rewards such as being released to run, greet a friend, or sniff a tree, so your dog learns that listening to you makes good things happen in the world.","Once a behaviour is reliable, shift from rewarding every correct response to rewarding most responses with occasional jackpots, which keeps motivation high while preventing dependence on constant food."
Training Introduction: Setting the Owner Up for Success,Tools and training setup,Reading (article),10–15 minutes,Week 1–3,This module explains how to choose and use basic training tools and how to set up ideal learning environments.,"The right equipment and environment make training safer, clearer, and less stressful. In this module, you will learn about leashes, harnesses, long lines, treat pouches, and enrichment items, as well as how to choose options appropriate for your dog’s size and temperament. You will also learn how to set up low-distraction training areas, structure short sessions, and gradually introduce more challenging environments as your dog’s skills grow.","Choose appropriate leash, harness, and long line.",Set up a low-distraction training space.,"Prepare treats, toys, and a treat pouch.",Gradually move to slightly more distracting environments.,,"Select a sturdy, comfortable leash and a well-fitted harness or flat collar that gives you control without causing pain or fear; avoid tools that rely on intimidation or discomfort.","Obtain a long line for safe practice of recall and distance work in open spaces, particularly for young or newly adopted dogs who are not yet reliable off leash.","Set up an initial training area in a quiet part of your home or yard where your dog is less likely to be distracted by other animals, people, or noises.","Gather soft treats, a treat pouch, and a couple of favourite toys before each session so you can reward quickly and keep momentum going.",
Training Introduction: Setting the Owner Up for Success,Progression and proofing skills,Reading (article),10–15 minutes,Week 2–4,This module teaches you how to gradually make behaviours more reliable in real-life situations.,"Training does not stop once your dog knows a cue at home. In this module, you will learn how to “proof” behaviours by gradually adding distraction, distance, and duration in a structured way. You will understand how to use a three-level environment system (easy, medium, hard), how to change only one difficulty factor at a time, and how to spot signs that you have progressed too quickly. Proper proofing turns basic skills into reliable real-life tools you can depend on.",Start in easy environments.,Add one difficulty factor at a time.,Step back if your dog struggles.,Repeat until reliable in many contexts.,,"Begin by practising new behaviours in very easy environments, such as a quiet room at home, where your dog is calm and focused.","Once your dog responds reliably, increase the difficulty slightly by adding either a small distraction, a bit more distance, or a longer duration—but only change one factor at a time.","Watch your dog’s performance and body language; if they seem confused, stressed, or start failing frequently, return to an easier level and rebuild confidence.","Gradually work through multiple environments and situations, revisiting easier levels whenever needed, so that your dog learns that the cue means the same thing no matter where you are or what is happening around you.",
Training Introduction: Setting the Owner Up for Success,Building a training habit,Reading (article),10–15 minutes,Week 2–4,This module helps owners build sustainable training habits that fit into daily life.,"Even the best training plan fails if it is not used consistently. This module teaches you how to weave short sessions into your everyday routine, how to avoid burnout, and how to keep training enjoyable for both you and your dog. You will learn about micro-sessions, stacking training onto existing habits (like mealtimes and walks), using checklists or logs, and recognising when you or your dog need a break. Building a training habit turns progress into a natural part of life rather than a chore.","Plan short, frequent training sessions.",Attach sessions to existing routines.,Track your progress simply.,Keep sessions fun and achievable.,Adjust when you or your dog feel tired or stuck.,Choose one or two behaviours to focus on in each micro-session rather than trying to work on everything at once.,"Keep a simple log or checklist, marking what you practised and how it went so you can see progress over time and spot patterns or sticking points.","Make sessions enjoyable by ending on an easy win, using good rewards, and stopping before either of you becomes frustrated or bored.","If you notice that you or your dog are feeling overwhelmed, reduce the difficulty, shorten sessions, or take a planned break, then restart with fresh energy and clearer goals.",
Exercise Foundations,The Role of Exercise in Behavior,Reading (article + optional video),10–15 minutes,Week 2–4,"This module explains how physical and mental exercise affect your dog’s behaviour, mood, and overall wellbeing.","Dogs require both physical and mental exercise to stay balanced and well‑behaved. In this module, you'll learn how unmet exercise needs often lead to problem behaviours like barking, chewing, jumping, or restlessness. You’ll also explore how appropriate exercise supports calmness, improves sleep, and enhances your dog’s ability to learn. The module explains the difference between overstimulation and healthy exertion, helping owners find the right balance for their dog’s age and breed.",Read overview of behaviour–exercise link.,Identify your dog's baseline needs.,Note signs of under‑exercise.,Learn signs of over‑arousal.,Start planning daily exercise structure.,"Begin by reading how inadequate exercise commonly leads to behavioural issues such as excessive barking, digging, pacing, and inability to settle, especially in young or high‑drive dogs.","Review recommendations for your dog’s age, breed, and energy level to form a realistic understanding of their physical and mental needs.","Observe and record any signs of under‑exercise such as restlessness, destructive chewing, or difficulty relaxing.","Learn how too much or poorly timed exercise can lead to overstimulation or hyper‑arousal, such as after long high‑intensity play sessions.","Begin shaping a daily routine that includes both physical and mental outlets to create a calmer, more focused dog."
Exercise Foundations,Types of Exercise,Reading (article),10–15 minutes,Week 2–6,This module teaches you the different forms of exercise and how to choose the right mix for your dog.,"Dogs benefit from a combination of physical activities (like walks, runs, and free play) and mental stimulation (like scent games, problem‑solving, and training sessions). This module explains each exercise type, the benefits and risks, and how often they should be included. You will learn how structured walks differ from casual sniff walks, when running is appropriate, how to use fetch safely, and how mental exercise can tire a dog more effectively than physical exertion alone.",Review all exercise types.,Choose suitable options for age.,Add mental work into routine.,Learn safe fetch rules.,Mix physical & mental outlets daily.,"Read the overview of each exercise type: casual sniff walks, structured heel walks, play sessions, tug, fetch, swimming, jogging, supervised off‑leash time, and mental enrichment.",Consider your dog's age and physical development—young puppies need very gentle exercise and controlled activities.,"Plan daily mental stimulation using training games, puzzle toys, or scent activities, which reduce boredom and increase calmness.",Learn safe fetch and tug guidelines to avoid repetitive strain or over‑arousal.,"Build a balanced daily routine that includes a mix of physical exercise, decompression walks, and mentally challenging tasks."
Exercise Foundations,Exercise Safety & Risks,Reading (article),10 minutes,Week 2–6,"This module teaches owners how to exercise their dog safely and avoid injury, fear, or overstimulation.","Healthy exercise depends on understanding your dog’s age, growth stage, breed, and environment. This module explains the risks of over‑exercise in puppies, how to manage weather extremes, signs of heat stress, and how to prevent strain injuries. You'll also learn safe warm‑ups and cool‑downs, how to recognise fatigue, and why some breeds require modified exercise plans. Proper safety reduces long‑term injury and teaches dogs to enjoy exercise without becoming overstimulated or anxious.",Learn exercise limits by age.,Review heat/cold guidelines.,Identify signs of fatigue.,Avoid repetitive strain.,Practise warm‑up & cool‑down steps.,"Read recommendations for age‑appropriate exercise, especially how puppies' joints and growth plates need gentle, controlled activity.","Learn how to modify exercise based on heat, humidity, or cold—dogs overheat faster than humans.","Practice spotting early signs of fatigue or overheating: slowing down, panting heavily, lagging behind, or seeking shade.","Avoid excessive repetitive activities such as constant ball throwing, sharp turns, or jumping for young dogs.","Implement simple warm‑ups (slow walking, gentle movement) and cool‑downs (gradual slowing, sniffing breaks) to reduce injuries."
Exercise Foundations,Creating an Exercise Plan,Reading (article + worksheet),10–15 minutes,Week 3–6,"This module helps owners design a balanced daily exercise plan tailored to their dog’s breed, age, and temperament.","Different dogs have different needs, and structured plans prevent overstimulation or under‑stimulation. This module walks you through building a weekly routine that includes physical exercise, mental enrichment, rest days, and controlled exposure to new environments. You’ll learn how to adjust intensity, rotate activities, and build sustainable habits that support behaviour, training progress, and overall wellbeing.",Review breed‑specific needs.,Choose physical & mental activities.,Build weekly structure.,Add rest days.,Adjust based on behaviour changes.,"Start by researching general exercise needs for your dog's breed or type, then adjust for your dog’s individual temperament and energy level.","Select a mix of physical activities (walks, play sessions, swimming) and mental enrichment (training, puzzles, scent games).","Build a weekly plan with predictable structure, cycling between higher‑energy and lower‑energy days.",Include at least one rest day per week where activity is lighter and focused on calmness and recovery.,"Monitor your dog’s behaviour—if they seem overly excitable, destructive, or restless, increase mental stimulation; if they seem fatigued or sore, reduce intensity."
Crate & Alone-Time Training,Why crate training matters,Reading (article),8–12 minutes,Week 1–4,"This module explains why crate training supports safety, independence, and stress reduction.","Crate training provides dogs with a secure den-like environment where they can rest comfortably and safely. This module explains how a crate prevents accidents, supports house training, reduces destructive chewing, and helps dogs learn independence. You’ll learn why a crate is not a punishment tool, how it benefits both puppies and adult dogs, and how it contributes to calmer behaviour in the home and during travel.",Learn crate purpose.,Choose correct crate size.,Introduce crate slowly.,Pair crate with positives.,Avoid misuse of crate.,"Begin by understanding the crate as a safe resting space rather than a discipline tool, emphasising its role in house training and preventing unwanted behaviour.","Choose a crate large enough for your dog to stand, turn, and lie comfortably but not overly spacious.",Start by simply allowing your dog to explore the crate voluntarily with the door open.,"Pair the crate with rewards such as treats, chews, and meals to create positive associations.",Avoid using the crate for punishment or extended confinement beyond recommended durations to preserve trust and comfort.
Crate & Alone-Time Training,Step-by-step crate introduction,Reading (article + checklist),10–15 minutes,Week 1–4,This module guides you through the step-by-step process of teaching your dog to love the crate.,"This module breaks crate introduction into small, achievable stages so your dog builds a positive emotional connection to the crate. You’ll learn how to introduce the crate without pressure, how to shape voluntary entry, how to add duration, and how to close the door gradually. The module teaches gentle progressions that prevent fear, crying, and crate avoidance.",Open-door introduction.,Reward exploration.,Add meals in crate.,Close door briefly.,Build duration gradually.,Start by placing the crate in a quiet but social area and leaving the door open so your dog can explore freely.,Toss treats inside or place a soft blanket to encourage your dog to step in without being forced.,Begin feeding meals inside the crate to build a strong positive association.,"Once comfortable, close the door for a few seconds while your dog is eating, opening it before they finish.","Gradually extend the duration with calm behaviours, adding chews or enrichment and keeping each step easy enough to prevent distress."
Crate & Alone-Time Training,Teaching your dog to be comfortable alone,Reading (article),8–12 minutes,Week 2–6,This module teaches how to build healthy independence and prevent separation anxiety.,"Many dogs struggle with being left alone if not taught gradually. This module explains how to build independence through short separations, safe confinement, calm departures, and predictable routines. Owners learn how to prevent dependency, how to handle crying, and how to increase alone-time slowly without triggering anxiety.",Practise short separations.,Keep departures low-key.,Reward calm behaviour.,Increase time slowly.,Create predictable routines.,Start with micro‑separations such as stepping out of sight for a few seconds and returning before your dog becomes distressed.,Keep departures calm and neutral to avoid signalling to your dog that something stressful is happening.,Return only when your dog is calm to reinforce emotional stability rather than frantic behaviour.,"Gradually extend separation duration, using crates, pens, or safe rooms to create security.","Implement predictable routines around alone-time so your dog knows what to expect, reducing anxiety and building resilience."
Crate & Alone-Time Training,Managing separation anxiety,Reading (article + troubleshooting guide),10–15 minutes,Week 3–12,"This module helps owners identify, manage, and reduce early signs of separation anxiety.","Separation anxiety can develop in puppies and adult dogs when alone-time is rushed or inconsistent. This module teaches how to identify early warning signs, structure training to build independence, use enrichment to reduce anxiety, and avoid common mistakes that intensify clinginess. You’ll also learn when professional help is necessary, and how early intervention prevents long-term behavioural issues.",Identify early signs.,Practise independence training.,Avoid reinforcing distress.,Use enrichment during absences.,Seek help if signs worsen.,"Learn the early signs of separation distress such as pacing, whining, barking, drooling, or following you constantly.",Begin structured independence training using controlled short absences and gradual desensitisation.,"Avoid returning to your dog while they are distressed, as this can reinforce panic and dependency.","Use safe enrichment such as chews, snuffle mats, or puzzle feeders to keep your dog engaged during short alone periods.","Contact a trainer or behaviourist if your dog continues to panic despite consistent training, as professional guidance ensures safe and humane progress."
Puppy Socialisation (or Adult Dog Re-socialisation),Core principles of socialisation,Reading (article),10–15 minutes,Week 3–12,"This module teaches the fundamental principles of safe, structured socialisation for puppies and adult dogs.","Socialisation is the process of introducing a dog to new experiences in a positive, gradual way. This module explains how early exposure shapes confidence, prevents fear-based behaviours, and supports long-term behavioural stability. Owners learn how to create safe, low-pressure experiences that build curiosity instead of fear. This applies equally to older rescue dogs who may need gentle re-socialisation.",Learn definition of socialisation.,Start with low-intensity experiences.,Pair exposures with rewards.,Monitor body language.,Keep sessions short and positive.,"Read the definition of socialisation and understand why early exposure helps prevent fear, reactivity, and anxiety later in life.",Begin by choosing low-intensity environments and gentle experiences that match your dog’s confidence level.,"Pair each new sight, sound, or object with treats or praise to create a positive emotional response.",Watch your dog closely for signs of stress and adjust distance or intensity accordingly.,"Keep exposure sessions short, ending on a positive note to build long-term confidence."
